"","FECHA","TIENDA","CODPROD","DESCRIPCION","MEDIDA","UNI","VENTA","PRECIOUNITARIO","ACABADO","dia"
"45",2018-10-01,"Z12 TIENDA ZONA 12","06367","RIEL SUPERIOR VC-2000","21",4,640,160,"BL","lun\."
"46",2018-10-01,"Z12 TIENDA ZONA 12","06369","JAMBA INTERMEDIA VC-2000","21",3,378.95,126.316666666667,"BL","lun\."
"47",2018-10-01,"Z12 TIENDA ZONA 12","06377","RS/CONTRAMARCO VC 3000","21",1,166.07,166.07,"BL","lun\."
"48",2018-10-01,"Z12 TIENDA ZONA 12","07007","ZARANDA LIVIANA","21",4,244.29,61.0725,"MRT","lun\."
"49",2018-10-01,"Z12 TIENDA ZONA 12","1","GASTO ADMINISTRATIVO CHEQ RECHAZADO","01",2,322.5,161.25,NA,"lun\."
"50",2018-10-01,"Z12 TIENDA ZONA 12","11301-N","FELPUDO 7X6 POLIBON NEGRO ES70","01",30,66.96,2.232,NA,"lun\."
"51",2018-10-01,"Z12 TIENDA ZONA 12","12-1907-17","BISAGRA S/1400 DE 2 PALAS NEGRO","01",1,29.46,29.46,NA,"lun\."
"52",2018-10-01,"Z12 TIENDA ZONA 12","12-1512-7","GOMA BASE RIGIDA S/1400","01",236,906.07,3.83927966101695,NA,"lun\."
"53",2018-10-01,"Z12 TIENDA ZONA 12","12-1314-0","UNION PILASTRA VENTANA 14MM S/1400","01",18,57.86,3.21444444444444,NA,"lun\."
"54",2018-10-01,"Z12 TIENDA ZONA 12","62-57","CIERRE EMBUTIDO AUTOMATICO BLANCO BL","01",6,85.71,14.285,NA,"lun\."
"55",2018-10-01,"Z12 TIENDA ZONA 12","EP30404","EMPAQUE H-404 PROY 3831 CAFE FUERTE","01",8,10.71,1.33875,NA,"lun\."
"56",2018-10-01,"Z12 TIENDA ZONA 12","EP40404","EMPAQUE H-404 PROYECT. 3831 NEGRO DE","01",12,16.07,1.33916666666667,NA,"lun\."
"57",2018-10-02,"Z12 TIENDA ZONA 12","01502","ANGULAR 2 x 2 x 1/8","21",3,525.18,175.06,"MF","mar\."
"58",2018-10-02,"Z12 TIENDA ZONA 12","02055","UNION  PLANA NT","10.5",2,42.14,21.07,"AN","mar\."
"59",2018-10-02,"Z12 TIENDA ZONA 12","02206","MARCO FIJO PROYECT. 3831 ML","21",2,147.32,73.66,"AN","mar\."
"60",2018-10-02,"Z12 TIENDA ZONA 12","02390","MARCO SUP/INF HOJA VC-1500","21",2,150.89,75.445,"AN","mar\."
"61",2018-10-02,"Z12 TIENDA ZONA 12","02393","RIEL INFERIOR VC-1500","21",2,150.98,75.49,"AN","mar\."
"62",2018-10-02,"Z12 TIENDA ZONA 12","02394","RS/JAMBA MACRCO VC-1500","21",4,495.89,123.9725,"AN","mar\."
"63",2018-10-02,"Z12 TIENDA ZONA 12","02343","JAMBA HOJA BA<d1>O ESTANDAR","21",1,105.36,105.36,"AN","mar\."
"64",2018-10-02,"Z12 TIENDA ZONA 12","02400","TUBO 1 x 1 x 0.045","21",5,308.04,61.608,"AN","mar\."
"65",2018-10-02,"Z12 TIENDA ZONA 12","02421","TUBO 1-3/4 x 1 x 0.046","21",3,281.79,93.93,"AN","mar\."
"66",2018-10-02,"Z12 TIENDA ZONA 12","02428","BATIENTE PARA TUBO TRI ANGULAR","21",2,53.57,26.785,"AN","mar\."
"67",2018-10-02,"Z12 TIENDA ZONA 12","02395","MARCO LATERIAL VC-1500","21",2,100,50,"AN","mar\."
"68",2018-10-02,"Z12 TIENDA ZONA 12","02501","ANGULAR 1 x 1 x  0.045","21",4,200,50,"AN","mar\."
"69",2018-10-02,"Z12 TIENDA ZONA 12","02505","CANAL U 1/2 x 1/2 x 0.045","21",9,200.89,22.3211111111111,"AN","mar\."
"70",2018-10-02,"Z12 TIENDA ZONA 12","02517","ANGULAR 1/2 x 3/8 x 1/16","21",8,157.14,19.6425,"AN","mar\."
"71",2018-10-02,"Z12 TIENDA ZONA 12","02429","TUBO 1-3/4 x 1-3/4  C/1 PEST","21",2,446.43,223.215,"AN","mar\."
"72",2018-10-02,"Z12 TIENDA ZONA 12","04501","ANGULAR 1 x 1 x 0.045 ","21",1,58.93,58.93,"NE","mar\."
"73",2018-10-02,"Z12 TIENDA ZONA 12","06366","JAMBA HOJA VC-2000","21",1,97.7,97.7,"BL","mar\."
"74",2018-10-02,"Z12 TIENDA ZONA 12","06390","MARCO SUP/INF HOJA VC-1500","21",1,83.55,83.55,"BL","mar\."
"75",2018-10-02,"Z12 TIENDA ZONA 12","06422","TUBO 1-3/4 x 1-3/4 x 0.046","21",1,142.5,142.5,"BL","mar\."
"76",2018-10-02,"Z12 TIENDA ZONA 12","06428","BATIENTE PARA TUBO  TRIANGULAR","21",3,98.57,32.8566666666667,"BL","mar\."
"77",2018-10-02,"Z12 TIENDA ZONA 12","06429","TUBO 1-3/4 x 1-3/4 C/1 PEST","21",3,773.3,257.766666666667,"BL","mar\."
"78",2018-10-02,"Z12 TIENDA ZONA 12","06505","CANAL U 1/2 x 1/2 x 0.045","21",2,59.82,29.91,"BL","mar\."
"79",2018-10-02,"Z12 TIENDA ZONA 12","06423","TUBO 3 x 1-3/4 x 0.070","21",1,299.91,299.91,"BL","mar\."
"80",2018-10-02,"Z12 TIENDA ZONA 12","1","GASTO ADMINISTRATIVO CHEQ RECHAZADO","01",1,34.02,34.02,NA,"mar\."
"81",2018-10-02,"Z12 TIENDA ZONA 12","12-1326-0","ESCUADRA HOJA S/4600","01",8,81.43,10.17875,NA,"mar\."
"82",2018-10-02,"Z12 TIENDA ZONA 12","12-1328-0","ESCUADRA TETON CERCO Y FIJO S/4600","01",4,40.71,10.1775,NA,"mar\."
"83",2018-10-02,"Z12 TIENDA ZONA 12","12-6117-0","RUEDA FIJA SIMPLE S/3600","01",40,357.14,8.9285,NA,"mar\."
"84",2018-10-02,"Z12 TIENDA ZONA 12","634601","CERCO PERIMETRAL S/4600","20",2,578.75,289.375,"CT","mar\."
"85",2018-10-02,"Z12 TIENDA ZONA 12","634604","TAPA HOJA CENTRAL","20",1,80.36,80.36,"CT","mar\."
"86",2018-10-02,"Z12 TIENDA ZONA 12","634605","HOJA PERIMETRAL","20",3,670.98,223.66,"CT","mar\."
"87",2018-10-02,"Z12 TIENDA ZONA 12","631431","JUNQUILLO REDONDO ESTRECHO","20",1,42.86,42.86,"CT","mar\."
"88",2018-10-02,"Z12 TIENDA ZONA 12","MP42123","JALADERA P-VENTANA C-LIGHT ECONOMICA E-400","01",2,10.71,5.355,NA,"mar\."
"89",2018-10-03,"Z12 TIENDA ZONA 12","02190","FIJO CON VENA NT","21",2,152.86,76.43,"AN","mié\."
"90",2018-10-03,"Z12 TIENDA ZONA 12","021407","CERCO LISO DE PUERTA S/1400","20",3,581.79,193.93,"AN","mié\."
"91",2018-10-03,"Z12 TIENDA ZONA 12","021429","JUNQUILLO REDONDO MEDIANO","20",2,76.43,38.215,"AN","mié\."
"92",2018-10-03,"Z12 TIENDA ZONA 12","021433","JUNQUILLO REDONDO ANCHO","20",3,147.32,49.1066666666667,"AN","mié\."
"93",2018-10-03,"Z12 TIENDA ZONA 12","02007","ZARANDA LIVIANA","21",9,233.04,25.8933333333333,"AN","mié\."
"94",2018-10-03,"Z12 TIENDA ZONA 12","02008","ZARANDA ESTANDAR","21",17,582.59,34.27,"AN","mié\."
"95",2018-10-03,"Z12 TIENDA ZONA 12","02036","SILLAR DE CELOSIA NT","21",2,159.41,79.705,"AN","mié\."
"96",2018-10-03,"Z12 TIENDA ZONA 12","02038","CABEZAL DE CELOSIA NT","21",2,174.38,87.19,"AN","mié\."
"97",2018-10-03,"Z12 TIENDA ZONA 12","02055","UNION  PLANA NT","10.5",1,21.5,21.5,"AN","mié\."
"98",2018-10-03,"Z12 TIENDA ZONA 12","02136","FIJO PW","21",1,80.36,80.36,"AN","mié\."
"99",2018-10-03,"Z12 TIENDA ZONA 12","02376","JAMBA HOJA VC 3000","21",1,131.07,131.07,"AN","mié\."
"100",2018-10-03,"Z12 TIENDA ZONA 12","02377","RS/CONTRAMARCO VC 3000","21",2,299.46,149.73,"AN","mié\."
"101",2018-10-03,"Z12 TIENDA ZONA 12","02378","ADAPTADOR 2DO RIEL VC 3000","21",1,39.29,39.29,"AN","mié\."
"102",2018-10-03,"Z12 TIENDA ZONA 12","02387","JAMBA INTERMEDIA VC 3000","21",1,168.66,168.66,"AN","mié\."
"103",2018-10-03,"Z12 TIENDA ZONA 12","02195","BATIENTE LIVIANO NT","21",4,191.79,47.9475,"AN","mié\."
"104",2018-10-03,"Z12 TIENDA ZONA 12","02204","BATIENTE PROY. 3831 ML  REDONDO","21",1,40.18,40.18,"AN","mié\."
"105",2018-10-03,"Z12 TIENDA ZONA 12","02327","JAMBA MARCO POCKET","21",1,100.89,100.89,"AN","mié\."
"106",2018-10-03,"Z12 TIENDA ZONA 12","02340","JAMBA MARCO BA<d1>O ESTANDAR","21",1,117.86,117.86,"AN","mié\."
"107",2018-10-03,"Z12 TIENDA ZONA 12","02343","JAMBA HOJA BA<d1>O ESTANDAR","21",31,3241.96,104.57935483871,"AN","mié\."
"108",2018-10-03,"Z12 TIENDA ZONA 12","02366","JAMBA HOJA VC-2000","21",2,171.5,85.75,"AN","mié\."
"109",2018-10-03,"Z12 TIENDA ZONA 12","02367","RIEL SUPERIOR VC-2000","21",2,255.64,127.82,"AN","mié\."
"110",2018-10-03,"Z12 TIENDA ZONA 12","02369","JAMBA INTERMEDIA VC-2000","21",1,109.54,109.54,"AN","mié\."
"111",2018-10-03,"Z12 TIENDA ZONA 12","02375","RIEL INFERIOR VC 3000","21",1,121.43,121.43,"AN","mié\."
"112",2018-10-03,"Z12 TIENDA ZONA 12","02464","TUBO 4 X 1-3/4 X 0.060","21",5,1565.63,313.126,"AN","mié\."
"113",2018-10-03,"Z12 TIENDA ZONA 12","02501","ANGULAR 1 x 1 x  0.045","21",1,50,50,"AN","mié\."
"114",2018-10-03,"Z12 TIENDA ZONA 12","02505","CANAL U 1/2 x 1/2 x 0.045","21",11,245.54,22.3218181818182,"AN","mié\."
"115",2018-10-03,"Z12 TIENDA ZONA 12","02517","ANGULAR 1/2 x 3/8 x 1/16","21",1,19.64,19.64,"AN","mié\."
"116",2018-10-03,"Z12 TIENDA ZONA 12","02388","CABEZAL HOJA VC-3000","21",1,100.89,100.89,"AN","mié\."
"117",2018-10-03,"Z12 TIENDA ZONA 12","02389","SILLAR HOJA VC-3000","21",1,135.63,135.63,"AN","mié\."
"118",2018-10-03,"Z12 TIENDA ZONA 12","02394","RS/JAMBA MACRCO VC-1500","21",2,253.57,126.785,"AN","mié\."
"119",2018-10-03,"Z12 TIENDA ZONA 12","02400","TUBO 1 x 1 x 0.045","21",2,121.43,60.715,"AN","mié\."
"120",2018-10-03,"Z12 TIENDA ZONA 12","02421","TUBO 1-3/4 x 1 x 0.046","21",2,196.43,98.215,"AN","mié\."
"121",2018-10-03,"Z12 TIENDA ZONA 12","02422","TUBO 1-3/4 x 1-3/4 x 0.046","21",5,620.54,124.108,"AN","mié\."
